Metric,Mean,CI_Lower,CI_Upper
2AFC_B2I,0.9894818572998046,0.9882429331541062,0.9906411975622177
2AFC_I2B,0.9774834445118904,0.9746432870626449,0.9800964951515198
CCD_Hard_K1,0.5819816700610998,0.5468431771894093,0.6181262729124236
CCD_Hard_K2,0.49481568228105904,0.46028513238289204,0.5325865580448065
RSA_Pearson,0.378682404756546,0.35700806975364685,0.40165433287620544
RSA_Spearman,0.26326338231427737,0.24134787176792635,0.2866066920865357
