group,subj,eval_repr,tag,N,pairs,sim_metric,rsa_spearman,ci95_low,ci95_high,rsa_pearson,ci95_low_p,ci95_high_p,metrics.json
official_hf,7,tokens_mean,final_subj07_pretrained_40sess_24bs,982,481671.0,cosine,0.2388308875459881,0.2361660715623215,0.2414921112022906,0.2957374562249755,0.2931581940132005,0.298312413663555,/mnt/work/repos/TextAlign-mindeye2/cache/model_eval_results/shared982_rsa/official_hf/final_subj07_pretrained_40sess_24bs/tokens_mean/metrics.json
official_s1,1,pooled,official_s1,982,481671.0,cosine,0.231920967887204,0.2292470115040649,0.2345914238436067,0.2728487400878886,0.2702328628809934,0.2754605890504658,/mnt/work/repos/TextAlign-mindeye2/cache/model_eval_results/shared982_rsa/official_s1/official_s1/pooled_mean/metrics.json
official_s1,1,tokens_mean,official_s1,982,481671.0,cosine,0.231920967887204,0.2292470115040649,0.2345914238436067,0.2728487400878886,0.2702328628809934,0.2754605890504658,/mnt/work/repos/TextAlign-mindeye2/cache/model_eval_results/shared982_rsa/official_s1/official_s1/tokens_mean/metrics.json
ours_s1_from_official_full_v1,1,pooled,ours_s1_from_official_full_v1,982,481671.0,cosine,0.2319209683163836,0.2292470119338038,0.2345914242722212,0.2728487395506971,0.2702328623429774,0.2754605885141056,/mnt/work/repos/TextAlign-mindeye2/cache/model_eval_results/shared982_rsa/ours_s1_from_official_full_v1/ours_s1_from_official_full_v1/pooled_mean/metrics.json
ours_s1_from_official_full_v1,1,tokens_mean,ours_s1_from_official_full_v1,982,481671.0,cosine,0.2319209683163836,0.2292470119338038,0.2345914242722212,0.2728487395506971,0.2702328623429774,0.2754605885141056,/mnt/work/repos/TextAlign-mindeye2/cache/model_eval_results/shared982_rsa/ours_s1_from_official_full_v1/ours_s1_from_official_full_v1/tokens_mean/metrics.json
ours_s1_v1,1,pooled,ours_s1_v1,982,481671.0,cosine,0.1394520089426013,0.1366817317680776,0.1422201049546842,0.1466485248542216,0.143884008391717,0.1494107524101436,/mnt/work/repos/TextAlign-mindeye2/cache/model_eval_results/shared982_rsa/ours_s1_v1/ours_s1_v1/pooled_mean/metrics.json
ours_s1_v1,1,tokens_mean,ours_s1_v1,982,481671.0,cosine,0.1394520089426013,0.1366817317680776,0.1422201049546842,0.1466485248542216,0.143884008391717,0.1494107524101436,/mnt/work/repos/TextAlign-mindeye2/cache/model_eval_results/shared982_rsa/ours_s1_v1/ours_s1_v1/tokens_mean/metrics.json
ours_s1_v2,1,pooled,ours_s1_v2,982,481671.0,cosine,0.278815350423151,0.2762087321564339,0.2814178669954719,0.3577855226179943,0.3553204408572946,0.3602456278500666,/mnt/work/repos/TextAlign-mindeye2/cache/model_eval_results/shared982_rsa/ours_s1_v2/ours_s1_v2/pooled_mean/metrics.json
ours_s1_v2,1,tokens_mean,ours_s1_v2,982,481671.0,cosine,0.278815350423151,0.2762087321564339,0.2814178669954719,0.3577855226179943,0.3553204408572946,0.3602456278500666,/mnt/work/repos/TextAlign-mindeye2/cache/model_eval_results/shared982_rsa/ours_s1_v2/ours_s1_v2/tokens_mean/metrics.json
ours_s2_v10,2,pooled,ours_s2_v10,982,481671.0,cosine,0.268452646652098,0.2658300765718412,0.2710712432007047,0.3441928092018744,0.341700848913181,0.3466799296396974,/mnt/work/repos/TextAlign-mindeye2/cache/model_eval_results/shared982_rsa/ours_s2_v10/ours_s2_v10/pooled_mean/metrics.json
ours_s2_v10,2,tokens_mean,ours_s2_v10,982,481671.0,cosine,0.268452646652098,0.2658300765718412,0.2710712432007047,0.3441928092018744,0.341700848913181,0.3466799296396974,/mnt/work/repos/TextAlign-mindeye2/cache/model_eval_results/shared982_rsa/ours_s2_v10/ours_s2_v10/tokens_mean/metrics.json
ours_s5_v10,5,pooled,ours_s5_v10,982,481671.0,cosine,0.2813963555693077,0.2787938049367494,0.2839947730279754,0.3717901989468054,0.3693539051422972,0.3742213820223036,/mnt/work/repos/TextAlign-mindeye2/cache/model_eval_results/shared982_rsa/ours_s5_v10/ours_s5_v10/pooled_mean/metrics.json
ours_s5_v10,5,tokens_mean,ours_s5_v10,982,481671.0,cosine,0.2813963555693077,0.2787938049367494,0.2839947730279754,0.3717901989468054,0.3693539051422972,0.3742213820223036,/mnt/work/repos/TextAlign-mindeye2/cache/model_eval_results/shared982_rsa/ours_s5_v10/ours_s5_v10/tokens_mean/metrics.json
ours_s7_v10,7,pooled,ours_s7_v10,982,481671.0,cosine,0.2654712599447091,0.2628442130823181,0.268094370664088,0.346215551542673,0.3437275247805424,0.3486987177235138,/mnt/work/repos/TextAlign-mindeye2/cache/model_eval_results/shared982_rsa/ours_s7_v10/ours_s7_v10/pooled_mean/metrics.json
ours_s7_v10,7,tokens_mean,ours_s7_v10,982,481671.0,cosine,0.2654712599447091,0.2628442130823181,0.268094370664088,0.346215551542673,0.3437275247805424,0.3486987177235138,/mnt/work/repos/TextAlign-mindeye2/cache/model_eval_results/shared982_rsa/ours_s7_v10/ours_s7_v10/tokens_mean/metrics.json
ours,01,pooled,s1_textalign_stage1_FINAL_BEST_32,982,,,0.263,0.241,0.287,0.379,0.357,0.402,
