group,subj,eval_repr,tag,n_eval,neg_mode,k_neg,seed,bootstrap,clip_pretrained,ccd_acc1,ccd_acc1_ci95_lo,ccd_acc1_ci95_hi,ccd_acc5,mrr,mean_rank,median_rank,margin_mean,margin_mean_ci95_lo,margin_mean_ci95_hi,margin_median,margin_std,twoafc_hardest,twoafc_hardest_ci95_lo,twoafc_hardest_ci95_hi,runtime_sec,metrics.json
official_hf,1,pooled_mean,final_subj01_pretrained_1sess_24bs,909,hardneg,1,42,1000,laion2b_s39b_b160k,0.5137513875961304,0.4840208940207958,0.5445819750428199,1.0,0.7568756937980652,1.4862486124038696,1.0,0.0006252857856452,-0.0007662342570256,0.0020192051772028,0.0005190297961235,0.0217126086354255,0.5137513875961304,0.4840208940207958,0.5445819750428199,49.04633355140686,cache/model_eval_results/shared982_ccd/official_hf/final_subj01_pretrained_1sess_24bs/pooled_mean/metrics.json
official_hf,1,pooled_mean,final_subj01_pretrained_40sess_24bs,909,hardneg,1,42,1000,laion2b_s39b_b160k,0.5830582976341248,0.5511550903320312,0.6149615049362183,1.0,0.7915291786193848,1.4169416427612305,1.0,0.0071475058794021,0.0052910711034201,0.0089339899364858,0.0057903826236724,0.0280611533671617,0.5830582976341248,0.5511550903320312,0.6149615049362183,24.55195140838623,cache/model_eval_results/shared982_ccd/official_hf/final_subj01_pretrained_40sess_24bs/pooled_mean/metrics.json
official_hf,1,tokens_mean,final_subj01_pretrained_1sess_24bs,909,hardneg,1,42,1000,laion2b_s39b_b160k,0.5137513875961304,0.4840208940207958,0.5445819750428199,1.0,0.7568756937980652,1.4862486124038696,1.0,0.0006252857856452,-0.0007662342570256,0.0020192051772028,0.0005190297961235,0.0217126086354255,0.5137513875961304,0.4840208940207958,0.5445819750428199,26.126795291900635,cache/model_eval_results/shared982_ccd/official_hf/final_subj01_pretrained_1sess_24bs/tokens_mean/metrics.json
official_hf,1,tokens_mean,final_subj01_pretrained_40sess_24bs,909,hardneg,1,42,1000,laion2b_s39b_b160k,0.5830582976341248,0.5511550903320312,0.6149615049362183,1.0,0.7915291786193848,1.4169416427612305,1.0,0.0071475058794021,0.0052910711034201,0.0089339899364858,0.0057903826236724,0.0280611533671617,0.5830582976341248,0.5511550903320312,0.6149615049362183,26.46365857124329,cache/model_eval_results/shared982_ccd/official_hf/final_subj01_pretrained_40sess_24bs/tokens_mean/metrics.json
official_hf,2,pooled_mean,final_subj02_pretrained_1sess_24bs,909,hardneg,1,42,1000,laion2b_s39b_b160k,0.463146299123764,0.4323432445526123,0.4972497224807739,1.0,0.7315731644630432,1.5368536710739136,2.0,-0.0017973342910408,-0.003211149026174,-0.0002289872765686,-0.0018655061721801,0.0227407943457365,0.463146299123764,0.4323432445526123,0.4972497224807739,31.83615803718567,cache/model_eval_results/shared982_ccd/official_hf/final_subj02_pretrained_1sess_24bs/pooled_mean/metrics.json
official_hf,2,pooled_mean,final_subj02_pretrained_40sess_24bs,909,hardneg,1,42,1000,laion2b_s39b_b160k,0.6105610728263855,0.5764301180839538,0.6413641571998596,1.0,0.8052805066108704,1.3894389867782593,1.0,0.0078494930639863,0.0059844339033588,0.0097432210575789,0.0071712061762809,0.0291940737515687,0.6105610728263855,0.5764301180839538,0.6413641571998596,25.276773691177368,cache/model_eval_results/shared982_ccd/official_hf/final_subj02_pretrained_40sess_24bs/pooled_mean/metrics.json
official_hf,2,tokens_mean,final_subj02_pretrained_1sess_24bs,909,hardneg,1,42,1000,laion2b_s39b_b160k,0.463146299123764,0.4323432445526123,0.4972497224807739,1.0,0.7315731644630432,1.5368536710739136,2.0,-0.0017973342910408,-0.003211149026174,-0.0002289872765686,-0.0018655061721801,0.0227407943457365,0.463146299123764,0.4323432445526123,0.4972497224807739,22.27353310585022,cache/model_eval_results/shared982_ccd/official_hf/final_subj02_pretrained_1sess_24bs/tokens_mean/metrics.json
official_hf,2,tokens_mean,final_subj02_pretrained_40sess_24bs,909,hardneg,1,42,1000,laion2b_s39b_b160k,0.6105610728263855,0.5764301180839538,0.6413641571998596,1.0,0.8052805066108704,1.3894389867782593,1.0,0.0078494930639863,0.0059844339033588,0.0097432210575789,0.0071712061762809,0.0291940737515687,0.6105610728263855,0.5764301180839538,0.6413641571998596,22.91715717315674,cache/model_eval_results/shared982_ccd/official_hf/final_subj02_pretrained_40sess_24bs/tokens_mean/metrics.json
official_hf,5,pooled_mean,final_subj05_pretrained_1sess_24bs,909,hardneg,1,42,1000,laion2b_s39b_b160k,0.4807480871677398,0.4455445408821106,0.5137513875961304,1.0,0.7403740286827087,1.5192519426345823,2.0,6.989026587689295e-05,-0.0015543611138127,0.0017034835356753,-0.0009645894169807,0.0248420685529708,0.4807480871677398,0.4455445408821106,0.5137513875961304,19.171246767044067,cache/model_eval_results/shared982_ccd/official_hf/final_subj05_pretrained_1sess_24bs/pooled_mean/metrics.json
official_hf,5,pooled_mean,final_subj05_pretrained_40sess_24bs,909,hardneg,1,42,1000,laion2b_s39b_b160k,0.6743674278259277,0.6424642205238342,0.7062706351280212,1.0,0.8371837139129639,1.3256325721740725,1.0,0.0140100959688425,0.0115678078494966,0.016279807453975,0.0129132941365242,0.0339656956493854,0.6743674278259277,0.6424642205238342,0.7062706351280212,20.94109988212585,cache/model_eval_results/shared982_ccd/official_hf/final_subj05_pretrained_40sess_24bs/pooled_mean/metrics.json
